"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-2682334","EPH-Ephrin signaling","37/2496","92/10616",0.000254552417343245,0.00719563188392089,0.00625635787589245,"EPHA3/EPHA2/EPHA7/EPHA4/EFNB2/EFNA2/PAK2/EPHB2/FYN/MMP2/PAK3/EFNA5/ROCK2/CDC42/SDC2/TIAM1/EPHB1/MYH9/SDCBP/MYL9/ARHGEF7/EPHB3/EFNB3/ARPC5/LYN/VAV3/PSEN1/ACTR3/KALRN/EFNA1/APH1B/MMP9/EPHB4/ARPC1B/EFNB1/ITSN1/EPHA5",37
"R-HSA-3928664","Ephrin signaling","12/2496","19/10616",0.000258461256749755,0.00719563188392089,0.00625635787589245,"EFNB2/PAK2/EPHB2/FYN/PAK3/EPHB1/SDCBP/ARHGEF7/EPHB3/EFNB3/EPHB4/EFNB1",12
"R-HSA-210500","Glutamate Neurotransmitter Release Cycle","14/2496","24/10616",0.000259770104112667,0.00719563188392089,0.00625635787589245,"SLC1A2/SLC1A3/SYT1/SNAP25/SLC1A1/SLC1A6/PPFIA4/TSPOAP1/ARL6IP5/RIMS1/STXBP1/PPFIA2/RAB3A/GLS",14
"R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","14/2496","24/10616",0.000259770104112667,0.00719563188392089,0.00625635787589245,"HBEGF/AKT3/FOXO3/BCL2/EGF/FOS/XPO1/EGFR/BTC/AKT1/CREB1/CDKN1B/SRF/CCND1",14
"R-HSA-177929","Signaling by EGFR","23/2496","49/10616",0.000271002386543728,0.00735957461496202,0.00639890052024818,"HBEGF/PAG1/ADAM12/PIK3R1/SPRY2/SH3GL2/SPRY1/CDC42/GRB2/EGF/ADAM17/EGFR/ARHGEF7/GAB1/CSK/BTC/STAM2/PIK3CA/LRIG1/SHC1/EPS15/PTPRK/SOS1",23
"R-HSA-186797","Signaling by PDGF","26/2496","58/10616",0.000278796774769365,0.00742564486645328,0.00645634636308003,"COL2A1/PDGFC/COL5A2/COL5A1/COL4A2/SPP1/COL4A1/PIK3R1/THBS3/PDGFA/COL4A5/THBS1/COL9A1/GRB2/COL3A1/PLAT/COL9A2/COL9A3/PDGFRB/STAT6/PIK3CA/PDGFRA/PIK3CB/THBS4/PDGFB/SOS1",26
"R-HSA-187037","Signaling by NTRK1 (TRKA)","33/2496","80/10616",0.00031048050656097,0.00798373933481459,0.00694159057497845,"DUSP4/RPS6KA2/MEF2C/SHC3/RPS6KA3/PIK3R1/RALGDS/SH3GL2/ADCYAP1R1/DUSP6/RALB/GRB2/MAPK13/RAP1A/MAPK11/ADCYAP1/IRS1/KIDINS220/SHC2/RIT1/CREB1/MAPK12/FRS2/NTRK2/PIK3CA/SHC1/DUSP3/DNAL4/PIK3CB/VRK3/PPP2R1B/SOS1/DNM3",33
"R-HSA-373760","L1CAM interactions","45/2496","119/10616",0.000311279367566778,0.00798373933481459,0.00694159057497845,"DCX/CNTN2/NRCAM/NCAN/NCAM1/ITGAV/RPS6KA2/RPS6KA3/EPHB2/CNTN6/ITGA2/SH3GL2/SCN3A/LAMC1/EZR/TUBA1A/ITGB1/KCNQ3/TUBB6/NRP1/GAP43/SDCBP/EGFR/LAMA1/ANK2/TUBB3/CHL1/DPYSL2/LAMB1/ALCAM/ITGA5/TUBB4A/CNTN1/TUBB2A/KCNQ2/SPTAN1/L1CAM/SCN1A/TUBB4B/TUBB2B/ANK3/NFASC/DLG4/ITGA9/DNM3",45
"R-HSA-1250196","SHC1 events in ERBB2 signaling","13/2496","22/10616",0.000363835204357749,0.00916203196428149,0.0079660760533065,"HBEGF/ERBB3/ERBB4/GRB2/NRG1/EGF/PRKCE/EGFR/PRKCA/BTC/SHC1/NRG3/SOS1",13
"R-HSA-8874081","MET activates PTK2 signaling","16/2496","30/10616",0.000385678229438081,0.00953864906735254,0.00829353185107452,"COL2A1/COL11A1/COL5A2/COL5A1/FN1/COL1A2/ITGA2/LAMC1/COL1A1/ITGB1/COL3A1/LAMA1/LAMB1/MET/LAMA5/COL27A1",16
"R-HSA-194138","Signaling by VEGF","41/2496","107/10616",0.000410769954167645,0.00998098923723138,0.00867813162636724,"AKT3/ITGAV/CAV1/SPHK1/CYFIP2/PRKCB/PAK2/PIK3R1/WASF3/FYN/PAK3/FLT1/WASF1/ROCK2/CDC42/VEGFA/CYFIP1/ABI2/VEGFC/MAPK13/MAPK11/ITPR3/NRP1/THEM4/AXL/PRKCA/TRIB3/AKT1/VAV3/CYBA/SHC2/MAPK12/PIK3CA/BAIAP2/PIK3CB/SH2D2A/ITPR1/SHB/WASF2/PRKACB/ITPR2",41
"R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type","12/2496","20/10616",0.000508128455954167,0.011729298524942,0.0101982272563433,"NCAN/GPC6/SDC1/GPC1/CSPG5/SDC2/BGN/GPC4/SDC3/HSPG2/GPC3/GPC2",12
"R-HSA-3560801","Defective B3GAT3 causes JDSSDHD","12/2496","20/10616",0.000508128455954167,0.011729298524942,0.0101982272563433,"NCAN/GPC6/SDC1/GPC1/CSPG5/SDC2/BGN/GPC4/SDC3/HSPG2/GPC3/GPC2",12
"R-HSA-9013695","NOTCH4 Intracellular Domain Regulates Transcription","12/2496","20/10616",0.000508128455954167,0.011729298524942,0.0101982272563433,"ACTA2/HES5/HEY1/MAML2/MAML3/HEY2/SMAD3/NOTCH1/KAT2B/HES1/NOTCH2/MAMLD1",12
"R-HSA-419037","NCAM1 interactions","20/2496","42/10616",0.000531516038159032,0.0120680280795125,0.0104927411156848,"COL2A1/ST8SIA2/COL5A2/COL5A1/ST8SIA4/COL4A2/CNTN2/NCAN/NCAM1/COL4A1/COL4A5/COL9A1/GFRA1/COL3A1/GFRA2/COL9A2/COL9A3/CACNB3/CACNB2/NRTN",20
"R-HSA-3928665","EPH-ephrin mediated repulsion of cells","23/2496","51/10616",0.000555796552496828,0.0122836306298047,0.010680200220784,"EPHA3/EPHA2/EPHA7/EPHA4/EFNB2/EFNA2/EPHB2/FYN/MMP2/EFNA5/TIAM1/EPHB1/EPHB3/EFNB3/LYN/VAV3/PSEN1/EFNA1/APH1B/MMP9/EPHB4/EFNB1/EPHA5",23
"R-HSA-6806834","Signaling by MET","32/2496","79/10616",0.000558749985326858,0.0122836306298047,0.010680200220784,"COL2A1/COL11A1/COL5A2/COL5A1/FN1/COL1A2/PIK3R1/SPINT2/ITGA2/SH3GL2/LAMC1/DOCK7/SPINT1/COL1A1/GRB2/ITGB1/COL3A1/RAP1A/TNS3/LAMA1/GAB1/STAM2/PTPRJ/LAMB1/PIK3CA/LRIG1/SHC1/MET/EPS15/LAMA5/SOS1/COL27A1",32
"R-HSA-4420097","VEGFA-VEGFR2 Pathway","38/2496","99/10616",0.000632226245327666,0.013681771090294,0.0118958359318232,"AKT3/ITGAV/CAV1/SPHK1/CYFIP2/PRKCB/PAK2/PIK3R1/WASF3/FYN/PAK3/WASF1/ROCK2/CDC42/VEGFA/CYFIP1/ABI2/MAPK13/MAPK11/ITPR3/THEM4/AXL/PRKCA/TRIB3/AKT1/VAV3/CYBA/SHC2/MAPK12/PIK3CA/BAIAP2/PIK3CB/SH2D2A/ITPR1/SHB/WASF2/PRKACB/ITPR2",38
"R-HSA-212676","Dopamine Neurotransmitter Release Cycle","13/2496","23/10616",0.00065737079129062,0.0140070545528847,0.0121786588702262,"SYT1/LIN7A/SNAP25/CASK/PPFIA4/TSPOAP1/RIMS1/STXBP1/LIN7B/PPFIA2/RAB3A/SYN1/APBA1",13
"R-HSA-421270","Cell-cell junction organization","27/2496","64/10616",0.000700090182582476,0.0146912864072232,0.0127735752611539,"CDH2/CDH3/CDH6/CADM1/F11R/CADM2/CLDN7/CDH11/CDH10/CDH1/CLDN1/PARD6G/PARD3/SDK2/SDK1/CLDN6/MPP5/AFDN/CDH4/CDH12/CLDN10/CDH7/CDH8/CDH13/CADM3/CLDN11/CLDN4",27
"R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","24/2496","55/10616",0.000764141646301502,0.0157517477227382,0.0136956104083697,"HMGCS1/IDI1/INSIG1/FDPS/NCOA6/SMARCD3/KPNB1/ELOVL6/MBTPS2/SQLE/HMGCR/NFYA/SCD/FDFT1/MVK/DHCR7/MVD/GGPS1/LSS/INSIG2/SREBF1/CHD9/SREBF2/SEC24D",24
"R-HSA-75153","Apoptotic execution phase","23/2496","52/10616",0.000777392740120384,0.0157517477227382,0.0136956104083697,"PAK2/CDH1/KPNB1/H1-0/PRKCQ/TJP2/KPNA1/VIM/GAS2/BIRC2/H1-2/OCLN/DSP/CASP7/DSG2/CASP3/TJP1/SPTAN1/CASP8/SATB1/APC/MAPT/GSN",23
"R-HSA-9012852","Signaling by NOTCH3","22/2496","49/10616",0.000784744110374681,0.0157517477227382,0.0136956104083697,"DLL1/HES5/FABP7/HEY1/MAML2/MAML3/HEY2/NOTCH1/KAT2B/PBX1/MIB1/HES1/JAG1/EGF/PLXND1/NEURL1B/EGFR/MAMLD1/PSEN1/MIB2/HEYL/APH1B",22
"R-HSA-422356","Regulation of insulin secretion","31/2496","78/10616",0.000988629030841003,0.0195607315387827,0.0170073926508588,"GNG11/ADRA2A/GNG2/GNG4/MARCKS/ADCY6/SLC2A1/SNAP25/GNAS/GNG12/RAP1A/ITPR3/GNG8/PRKCA/CACNB3/GNB1/IQGAP1/PLCB1/CHRM3/GNAI1/STXBP1/ACSL4/ACSL3/PRKAR1A/CACNB2/GNB5/ITPR1/KCNB1/PRKACB/ITPR2/ABCC8",31
"R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer","30/2496","75/10616",0.00104759626188836,0.0204355045452869,0.0177679781111976,"FGF8/HBEGF/KITLG/FGFR2/FGF18/ERBB3/PIK3R3/ERBB4/FGF9/PIK3R1/FYN/PDGFA/GRB2/NRG1/EGF/IRS1/EGFR/GAB1/PIK3AP1/BTC/KIT/FRS2/PDGFRB/PIK3CA/PDGFRA/MET/PIK3CB/FGF19/PDGFB/NRG3",30
"R-HSA-111465","Apoptotic cleavage of cellular proteins","18/2496","38/10616",0.00108033278727606,0.0207814015330186,0.018068723810582,"CDH1/PRKCQ/TJP2/VIM/GAS2/BIRC2/OCLN/DSP/CASP7/DSG2/CASP3/TJP1/SPTAN1/CASP8/SATB1/APC/MAPT/GSN",18
"R-HSA-8940973","RUNX2 regulates osteoblast differentiation","13/2496","24/10616",0.00112726251250092,0.0213871038330655,0.018595361417463,"HEY1/GLI3/WWTR1/ZNF521/HEY2/CBFB/HES1/SATB2/COL1A1/RUNX2/HDAC6/RB1/MAF",13
"R-HSA-375165","NCAM signaling for neurite out-growth","26/2496","63/10616",0.00129043992253373,0.0241521526041786,0.0209994775445034,"COL2A1/ST8SIA2/COL5A2/COL5A1/ST8SIA4/COL4A2/CNTN2/NCAN/NCAM1/COL4A1/FYN/COL4A5/COL9A1/GFRA1/GRB2/COL3A1/GFRA2/COL9A2/COL9A3/CACNB3/CREB1/PTPRA/SPTAN1/CACNB2/NRTN/SOS1",26
"R-HSA-399955","SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion","9/2496","14/10616",0.00133877751141067,0.0246127124649894,0.0213999187231221,"FYN/TLN1/PLXNA1/PLXNA2/NRP1/RRAS/SEMA3A/PLXNA3/PLXNA4",9
"R-HSA-5663202","Diseases of signal transduction","114/2496","377/10616",0.00135058927605718,0.0246127124649894,0.0213999187231221,"DLL1/HES5/FGF8/HHAT/FN1/ESRP1/HEY1/HBEGF/AKT3/KITLG/FGFR2/MAML2/MAML3/HEY2/SMAD3/NF1/NOTCH1/FGF18/ERBB3/KAT2B/PIK3R3/ERBB4/FGF9/PIK3R1/HDAC9/CDKN1A/FYN/PDGFA/FZD5/FOXO1/CAMK2D/MIB1/QKI/HES1/JAG1/TLN1/FOXO3/TNKS/CPSF6/RBP1/GRB2/KREMEN1/FZD6/GSK3B/DKK2/ARRB1/GAB2/NRG1/EGF/RAP1A/ADAM17/HDAC6/IRS1/NEURL1B/TGFBR1/TRAK1/KSR2/PSME4/EGFR/ZC3HAV1/AGGF1/TRIM24/GAB1/PIK3AP1/MAMLD1/PPP2R5C/CSK/ATG7/KIAA1549/BTC/FGFR1OP2/DERL2/AKT1/PSEN1/MIB2/TENT4A/CTBP1/KIT/IQGAP1/CREB1/LRRFIP1/FRS2/PTEN/CDKN1B/BAD/PDGFRB/PIK3CA/FAM131B/PDGFRA/HDAC11/TGFB1/SHC1/FAM114A2/MET/ARAF/HEYL/CDK8/PSMF1/APH1B/TGFBR2/PIK3CB/KDM7A/NAPEPLD/CLCN6/FGF19/PDGFB/AGTRAP/BCL2L11/NRG3/JAK2/APC/PPP2R1B/SOS1/CAMK2B",114
"R-HSA-3000157","Laminin interactions","15/2496","30/10616",0.00140363776555318,0.025247250718067,0.0219516282131626,"COL4A6/COL4A2/ITGAV/COL4A1/COL7A1/COL4A5/ITGA2/LAMC1/NID1/ITGB1/LAMA1/HSPG2/LAMB1/COL18A1/LAMA5",15
"R-HSA-1980143","Signaling by NOTCH1","29/2496","73/10616",0.00143128362426656,0.0254144592257587,0.0220970103395539,"DLL1/HES5/DLK1/HEY1/DNER/MAML2/MAML3/HEY2/TLE4/DTX4/NOTCH1/KAT2B/HDAC9/MIB1/HES1/JAG1/ARRB1/ADAM17/HDAC6/NEURL1B/MAMLD1/PSEN1/MIB2/HDAC11/HEYL/TLE1/CNTN1/CDK8/APH1B",29
"R-HSA-1980145","Signaling by NOTCH2","16/2496","33/10616",0.00148832204950379,0.0260927346653512,0.0226867478298778,"DLL1/HES5/MAML2/MAML3/MIB1/HES1/JAG1/NOTCH2/NEURL1B/MDK/MAMLD1/PSEN1/MIB2/CREB1/CNTN1/APH1B",16
"R-HSA-418597","G alpha (z) signalling events","21/2496","48/10616",0.00153897753821393,0.0263048422026292,0.0228711681396981,"GNG11/ADRA2A/GNG2/RGS20/PRKCB/GNG4/ADCY6/ADCY2/PRKCQ/GNAS/GNG12/GNAZ/RGS17/PRKCE/RGS16/RGS4/GNG8/PRKCA/GNB1/GNAI1/GNB5",21
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","47/2496","134/10616",0.00156250120504778,0.0263048422026292,0.0228711681396981,"RARRES2/FN1/TGFB2/PROS1/TIMP3/SCG3/ABCC4/SPARC/TAGLN2/PRKCB/MMRN1/RAB27B/CALU/PDGFA/SERPINE1/SELENOP/CD9/TLN1/THBS1/HABP4/MAGED2/VEGFA/A2M/APOOL/VEGFC/EGF/OLA1/NHLRC2/WDR1/HSPA5/TMX3/PRKCA/LAMP2/ENDOD1/SCCPDH/GAS6/PCDH7/FAM49B/SYTL4/TGFB1/CDC37L1/ECM1/PHACTR2/PDGFB/ACTN4/APLP2/FLNA",47
"R-HSA-199418","Negative regulation of the PI3K/AKT network","40/2496","110/10616",0.00157511778361766,0.0263048422026292,0.0228711681396981,"FGF8/IER3/HBEGF/AKT3/KITLG/FGFR2/FGF18/ERBB3/PIK3R3/ERBB4/FGF9/PIK3R1/FYN/PDGFA/GRB2/NRG1/EGF/IRS1/THEM4/EGFR/GAB1/PIK3AP1/PPP2R5C/TRAF6/BTC/TRIB3/AKT1/KIT/FRS2/PTEN/PDGFRB/PIK3CA/PDGFRA/PIP4K2B/MET/PIK3CB/FGF19/PDGFB/NRG3/PPP2R1B",40
"R-HSA-2426168","Activation of gene expression by SREBF (SREBP)","19/2496","42/10616",0.00157639126557273,0.0263048422026292,0.0228711681396981,"HMGCS1/IDI1/FDPS/NCOA6/SMARCD3/ELOVL6/SQLE/HMGCR/NFYA/SCD/FDFT1/MVK/DHCR7/MVD/GGPS1/LSS/SREBF1/CHD9/SREBF2",19
"R-HSA-2024096","HS-GAG degradation","12/2496","22/10616",0.00161573375828965,0.0266403720860853,0.0231628999935258,"GPC6/HGSNAT/SDC1/IDS/GPC1/SDC2/GPC4/SDC3/HSPG2/GPC3/HPSE2/GPC2",12
"R-HSA-264870","Caspase-mediated cleavage of cytoskeletal proteins","8/2496","12/10616",0.00180823184271367,0.0284771488774094,0.0247599151174284,"VIM/GAS2/CASP7/CASP3/SPTAN1/CASP8/MAPT/GSN",8
"R-HSA-6803211","TP53 Regulates Transcription of Death Receptors and Ligands","8/2496","12/10616",0.00180823184271367,0.0284771488774094,0.0247599151174284,"TNFRSF10B/FAS/TNFRSF10D/IGFBP3/TNFRSF10C/TMEM219/PPP1R13B/TP63",8
"R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission","67/2496","206/10616",0.00184394565199579,0.0284771488774094,0.0247599151174284,"NCALD/GNG11/GABRB3/GNG2/GLRB/RPS6KA2/PRKCB/RPS6KA3/GRIA1/ERBB4/PRKAA2/GNG4/CAMK2D/PRKX/ADCY6/GRIP1/ADCY2/CHRNA3/PPM1E/LIN7A/TUBA1A/GNG12/NRG1/CAMK4/CASK/TUBB6/GNG8/ARHGEF7/TUBB3/PRKCA/KCNJ2/GRIA2/ARHGEF9/GNB1/GABRB2/KCNJ4/GRIA3/CREB1/PLCB1/GABBR1/GNAI1/GABRA3/GABRG2/CHRNA9/DLG2/GRIK3/PRKAR1A/TUBB4A/TUBB2A/GABRG3/GABBR2/CACNG4/GRIN2A/TUBB4B/TUBB2B/GNAL/GNB5/EPB41L1/LIN7B/MAPT/PRKAA1/TSPAN7/GRIK1/PRKACB/CAMK2B/APBA1/DLG4",67
"R-HSA-9006115","Signaling by NTRK2 (TRKB)","13/2496","25/10616",0.00184673984771512,0.0284771488774094,0.0247599151174284,"PIK3R1/FYN/TIAM1/GRB2/GAB1/CDK5R1/FRS2/NTRK2/PIK3CA/SHC1/DOCK3/SOS1/BDNF",13
"R-HSA-9013508","NOTCH3 Intracellular Domain Regulates Transcription","13/2496","25/10616",0.00184673984771512,0.0284771488774094,0.0247599151174284,"HES5/FABP7/HEY1/MAML2/MAML3/HEY2/NOTCH1/KAT2B/PBX1/HES1/PLXND1/MAMLD1/HEYL",13
"R-HSA-5683057","MAPK family signaling cascades","91/2496","294/10616",0.00185050064907354,0.0284771488774094,0.0247599151174284,"RASGRP1/IL17RD/DUSP4/FGF8/FN1/HBEGF/KITLG/FGFR2/PEA15/NCAM1/IL6ST/NF1/FGF18/CDC42EP3/ERBB3/SHC3/SPRED1/ERBB4/FGF9/PAK2/JUN/DUSP1/FYN/PDGFA/AGO4/PAK3/SPRED2/AGO3/FOXO1/CAMK2D/TLN1/FOXO3/CDC42/LAMTOR3/DUSP6/GFRA1/GRB2/ARRB1/RET/ANGPT1/NRG1/EGF/RAP1A/XPO1/IRS1/CDC14B/GFRA2/CDC14A/KSR2/PSME4/CDC42EP5/EGFR/PPP2R5C/CUL3/CSK/BTC/SHC2/KIT/IQGAP1/PTPRA/FRS2/DUSP10/ETV4/PDGFRB/PAQR3/KALRN/PDGFRA/CDK1/DLG2/SEPTIN7/SHC1/MET/ARAF/PSMF1/SPTAN1/FGF19/PDGFB/RAPGEF2/JAK3/NRG3/TNRC6C/TEK/RASAL2/JAK2/PPP2R1B/NRTN/SOS1/KBTBD7/PRKACB/CAMK2B/DLG4",91
"R-HSA-180292","GAB1 signalosome","10/2496","17/10616",0.00187462423113938,0.0285313687926159,0.0248070574947768,"HBEGF/PAG1/PIK3R1/GRB2/EGF/EGFR/GAB1/CSK/BTC/PIK3CA",10
"R-HSA-446728","Cell junction organization","34/2496","91/10616",0.00203625489015006,0.0306544893788894,0.0266530388367467,"CDH2/CDH3/CDH6/PARVA/CADM1/F11R/CADM2/CLDN7/CDH11/CDH10/CDH1/CLDN1/PARD6G/PARD3/SDK2/SDK1/FBLIM1/CLDN6/MPP5/ITGB1/FLNC/AFDN/CDH4/CDH12/PARVB/CLDN10/CDH7/CDH8/DST/CDH13/CADM3/CLDN11/FLNA/CLDN4",34
"R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","15/2496","31/10616",0.0021343105326701,0.0317692074615907,0.0276222484028575,"DUSP4/MAPK10/RPS6KA2/MEF2C/RPS6KA3/JUN/DUSP6/MAPK11/FOS/ATF2/CREB1/DUSP3/VRK3/PPP2R1B/MAPK8",15
"R-HSA-5617833","Cilium Assembly","65/2496","200/10616",0.00218139728534069,0.0317692074615907,0.0276222484028575,"CEP41/LZTFL1/DCTN3/ASAP1/AHI1/ATAT1/IFT81/TCTN1/BBIP1/IFT88/ODF2/CCP110/BBS2/TCTEX1D2/KIFAP3/IFT57/CETN2/TUBA1A/ARL13B/RAB11A/NPHP3/HSPB11/EXOC6/PCM1/DYNLRB2/HDAC6/CC2D2A/ARL3/TUBB6/PAFAH1B1/TTC26/CEP78/BBS4/RP2/IFT22/DYNC2LI1/CEP290/NINL/TCTEX1D1/NDE1/TUBB3/TMEM67/NEDD1/WDR19/IFT43/IFT140/KIF3A/B9D2/CEP97/KIF3C/RPGRIP1L/CLASP1/IFT27/ACTR1A/INPP5E/CDK1/SCLT1/NPHP4/TUBB4A/RAB3IP/TUBB2A/DYNC1I2/CLUAP1/TUBB4B/TUBB2B",65
"R-HSA-114608","Platelet degranulation ","45/2496","129/10616",0.00219723622336864,0.0317692074615907,0.0276222484028575,"RARRES2/FN1/TGFB2/PROS1/TIMP3/SCG3/ABCC4/SPARC/TAGLN2/MMRN1/RAB27B/CALU/PDGFA/SERPINE1/SELENOP/CD9/TLN1/THBS1/HABP4/MAGED2/VEGFA/A2M/APOOL/VEGFC/EGF/OLA1/NHLRC2/WDR1/HSPA5/TMX3/LAMP2/ENDOD1/SCCPDH/GAS6/PCDH7/FAM49B/SYTL4/TGFB1/CDC37L1/ECM1/PHACTR2/PDGFB/ACTN4/APLP2/FLNA",45
"R-HSA-8873719","RAB geranylgeranylation","26/2496","65/10616",0.00220205336917885,0.0317692074615907,0.0276222484028575,"RAB33A/RAB25/RAB32/RAB27B/RAB40B/RAB3B/RAB8B/RAB31/RAB11A/PTP4A2/RAB22A/RAB27A/RAB2B/RAB36/RAB29/RAB30/RAB2A/RAB9B/RAB40C/RAB21/RAB38/RAB23/RAB3A/RAB6B/RAB3C/RAB39B",26
"R-HSA-5083635","Defective B3GALTL causes Peters-plus syndrome (PpS)","17/2496","37/10616",0.00223564640740469,0.0319213430335618,0.0277545251228537,"SPON1/ADAMTS9/SEMA5A/ADAMTS1/B3GLCT/ADAMTS15/ADAMTS18/THBS1/ADAMTS5/ADAMTS19/ADAMTS6/ADAMTS12/SEMA5B/THSD7A/ADAMTS2/ADAMTS8/THSD4",17
"R-HSA-4086398","Ca2+ pathway","25/2496","62/10616",0.00233094778804891,0.0326097241055328,0.028353049117788,"GNG11/LEF1/GNG2/FZD2/FZD3/GNG4/AGO4/FZD5/AGO3/PRKG1/MAP3K7/GNG12/FZD6/ITPR3/GNG8/PPP3CA/PRKCA/GNB1/PLCB1/NFATC1/GNAO1/GNB5/TNRC6C/ITPR1/ITPR2",25
"R-HSA-8986944","Transcriptional Regulation by MECP2","25/2496","62/10616",0.00233094778804891,0.0326097241055328,0.028353049117788,"FOXG1/DLL1/MEF2C/AGO4/AGO3/CAMK2D/HIPK2/CAMK4/LBR/GRIA2/CRH/CREB1/MECP2/PTEN/GAD1/MET/TRPC3/GRIN2A/TNRC6C/SGK1/RBFOX1/GAD2/SST/BDNF/CAMK2B",25
"R-HSA-1250342","PI3K events in ERBB4 signaling","7/2496","10/10616",0.00238436939106102,0.0326965505605892,0.0284285417756519,"HBEGF/ERBB4/PIK3R1/NRG1/BTC/PIK3CA/NRG3",7
"R-HSA-428542","Regulation of commissural axon pathfinding by SLIT and ROBO","7/2496","10/10616",0.00238436939106102,0.0326965505605892,0.0284285417756519,"SLIT2/NELL2/ROBO2/DCC/SLIT1/NTN1/ROBO3",7
"R-HSA-9006936","Signaling by TGF-beta family members","37/2496","102/10616",0.00243083380791831,0.0330069100388908,0.0286983888158777,"WWTR1/BMPR1B/NOG/SMAD3/SMAD9/FSTL1/F11R/CHRDL1/CDKN2B/BMPR2/PPM1A/SERPINE1/PARD3/PMEPA1/FST/ZFYVE16/TFDP2/JUNB/TGIF1/XPO1/E2F5/TGFBR1/NEDD4L/SMURF2/SMAD5/MTMR4/SMAD1/ACVR2A/PPP1R15A/RNF111/INHBA/TGFB1/CCNT2/CDK8/TGFBR2/INHBB/GREM2",37
"R-HSA-202733","Cell surface interactions at the vascular wall","47/2496","137/10616",0.00260793781958984,0.0350679017488537,0.0304903512070596,"FN1/CD47/CD99/PROS1/JAM2/TNFRSF10B/COL1A2/ITGAV/CAV1/F11R/PROCR/EPCAM/PIK3R1/FYN/SDC1/GPC1/CD44/SDC2/SLC16A1/COL1A1/SLC7A8/CD99L2/GRB2/JAM3/SLC7A5/ITGB1/ANGPT1/THBD/SLC7A6/TNFRSF10D/CD58/ANGPT2/SDC3/GAS6/LYN/PIK3CA/TGFB1/SHC1/ITGA5/ITGA4/PIK3CB/L1CAM/TEK/TSPAN7/SOS1/SLC7A7/SLC3A2",47
"R-HSA-373753","Nephrin family interactions","12/2496","23/10616",0.00266122063137949,0.035440293985198,0.0308141336264994,"KIRREL1/PIK3R1/FYN/KIRREL2/CD2AP/MAGI2/CASK/IQGAP1/PIK3CA/SPTAN1/PIK3CB/ACTN4",12
"R-HSA-1227986","Signaling by ERBB2","21/2496","50/10616",0.00283658217186448,0.0374158696003076,0.0325318296201801,"HBEGF/AKT3/ERBB3/ERBB4/PIK3R1/FYN/GRB2/CUL5/NRG1/EGF/PRKCE/EGFR/GAB1/PTPN18/PRKCA/BTC/AKT1/PIK3CA/SHC1/NRG3/SOS1",21
"R-HSA-5173214","O-glycosylation of TSR domain-containing proteins","17/2496","38/10616",0.00317090029036595,0.0414311028505362,0.0360229387505327,"SPON1/ADAMTS9/SEMA5A/ADAMTS1/B3GLCT/ADAMTS15/ADAMTS18/THBS1/ADAMTS5/ADAMTS19/ADAMTS6/ADAMTS12/SEMA5B/THSD7A/ADAMTS2/ADAMTS8/THSD4",17
"R-HSA-6802952","Signaling by BRAF and RAF fusions","26/2496","67/10616",0.00361292591267797,0.0467654428884017,0.0406609664938868,"FN1/ESRP1/CAMK2D/QKI/TLN1/ARRB1/RAP1A/TRAK1/KSR2/ZC3HAV1/AGGF1/TRIM24/CSK/ATG7/KIAA1549/TENT4A/IQGAP1/FAM131B/FAM114A2/ARAF/KDM7A/CLCN6/AGTRAP/BCL2L11/JAK2/CAMK2B",26
"R-HSA-75205","Dissolution of Fibrin Clot","8/2496","13/10616",0.00373465021620532,0.0474540417380217,0.0412596798391007,"SERPINE1/ANXA2/PLAU/PLAUR/PLAT/S100A10/SERPINB6/SERPINB2",8
"R-HSA-8847993","ERBB2 Activates PTK6 Signaling","8/2496","13/10616",0.00373465021620532,0.0474540417380217,0.0412596798391007,"HBEGF/ERBB3/ERBB4/NRG1/EGF/EGFR/BTC/NRG3",8
